Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Global IME Samunnat Scheme-1,58,23.40,22.96,23.00,150327.00,3463476.10,22.95,0.05
Goodwill Finance Co. Ltd.,1961,909.70,843.50,904.70,244320.00,218569130.20,827.00,77.70
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,400,1350.00,1313.00,1322.00,34921.00,46204069.70,1332.00,-10.00
Green Development Bank Ltd.,806,537.90,498.00,520.00,119086.00,61470926.60,489.00,31.00
GreenLife Hydropower Limited,1167,657.00,618.00,629.00,233257.00,146651355.90,633.00,-4.00
Guheshowori Merchant Bank & Finance Co. Ltd.,739,698.00,655.00,670.00,141082.00,95024412.00,648.00,22.00
Gurans Laghubitta Bittiya Sanstha Limited,56,1920.00,1879.90,1910.00,1752.00,3316204.00,1925.00,-15.00
Gurans Life Insurance Company Ltd.,252,785.40,755.00,776.00,41904.00,32592865.70,768.00,8.00
Gurkhas Finance Ltd.,763,1315.00,1248.00,1299.00,92530.00,119009566.90,1224.30,74.70
Himal Dolakha Hydropower Company Limited,3706,478.90,428.00,439.00,653184.00,298740931.20,440.00,-1.00
Himalaya Urja Bikas Company Limited,399,685.40,618.00,623.00,46165.00,29826862.60,639.90,-16.90
Himalayan Distillery Limited,1033,7680.00,7450.00,7535.00,32643.00,245842463.50,7624.00,-89.00
Himalayan General Insurance Co. Ltd,250,896.00,836.00,850.00,36172.00,30916750.30,832.00,18.00
Himalayan Power Partner Ltd.,925,730.00,691.00,726.00,250972.00,177378976.80,705.00,21.00
Hydorelectricity Investment and Development Company Ltd,3758,575.00,535.00,574.00,597928.00,337306902.80,574.90,-0.90
ICFC Finance Limited,1880,1109.70,980.00,1109.70,363865.00,376471919.90,1038.00,50.00
IME General Insurance Ltd.,205,1256.90,1221.10,1235.00,19234.00,23842947.90,1234.00,1.00
Infinity Laghubitta Bittiya Sanstha Limited,105,1938.00,1865.00,1911.00,5484.00,10491555.60,1936.00,-25.00
Janaki Finance Ltd.,828,730.00,685.00,713.00,176563.00,126010642.80,672.00,41.00
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,51,3700.00,3550.00,3590.00,1681.00,6093014.00,3556.00,34.00
Jeevan Bikas laghubitta  bittya sanstha ltd,34,3551.00,3292.70,3551.00,294.00,1036377.00,3228.20,322.80
Joshi Hydropower Development Company Ltd,976,507.00,455.00,472.00,106947.00,52536629.40,463.10,8.90
Jyoti Bikas Bank Limited,4894,643.00,588.00,623.00,904576.00,561544894.90,586.00,37.00
Jyoti Life Insurance Ltd,1097,757.80,732.00,748.10,18543.00,13833647.80,746.00,2.10
Kalika Microcredit Development Bank Ltd.,121,1472.00,1442.00,1442.00,8127.00,11786532.40,1472.00,-30.00
Kalika power Company Ltd,414,875.00,821.00,840.00,35233.00,29649981.20,840.00,0.00
Kamana Sewa Bikas Bank Limited,3406,866.90,770.00,845.00,677717.00,560843449.40,790.00,55.00
Karnali Development Bank Limited,908,554.90,505.00,549.00,147650.00,78655464.10,505.00,44.00
Khanikhola Hydropower Co. Ltd.,2933,556.20,456.30,490.00,328419.00,168979554.10,505.70,-15.70
Kisan Lagubitta Bittiya Sanstha Limited,52,1725.00,1701.00,1701.00,3697.00,6337384.00,1710.50,-9.50
Kumari Bank Limited,1294,394.00,375.00,387.00,264714.00,101444280.40,382.00,5.00
Kumari Equity Fund,103,10.20,10.08,10.15,94630.00,961570.90,10.22,-0.07
Laxmi Bank Limited,585,410.70,390.00,401.00,114501.00,45738372.70,397.80,3.20
Laxmi Equity Fund,72,11.64,11.04,11.10,183146.00,2055912.74,11.42,-0.32
Laxmi Laghubitta Bittiya Sanstha Ltd.,96,2405.00,2274.00,2360.00,8578.00,19976847.30,2310.00,50.00
Laxmi Unnati Kosh,77,11.50,10.89,10.98,167554.00,1834477.44,11.08,-0.10
Liberty Energy Company Limited,847,525.00,498.00,498.00,118371.00,60869444.90,509.00,-11.00
Life Insurance Co. Nepal,116,2400.00,2311.10,2390.00,14585.00,34173594.00,2346.00,44.00
Lumbini Bikas Bank Ltd.,3453,734.80,675.00,729.00,835074.00,597693976.10,668.00,61.00
Lumbini General Insurance Co. Ltd.,443,888.00,869.00,883.00,89848.00,78921869.30,869.00,14.00
Machhapuchhre Bank Limited,964,455.00,417.00,433.00,254492.00,109909587.60,424.00,9.00
Mahalaxmi Bikas Bank Ltd.,2951,751.30,665.00,751.00,787390.00,576919376.40,683.00,68.00
Mahila Lagubitta Bittiya Sanstha Limited ,147,5012.00,4950.00,5000.00,5122.00,25595867.00,5009.00,-9.00
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,35,2250.00,2191.00,2206.00,1488.00,3314889.20,2245.00,-39.00
Manjushree Finance Ltd.,1855,1456.00,1330.00,1370.00,248484.00,344335038.10,1328.00,42.00
Mega  Bank Nepal Ltd.,1528,389.00,374.20,382.90,274254.00,104035209.10,380.00,2.90
Mero Microfinance Bittiya Sanstha Ltd.,145,1679.00,1632.00,1645.00,9721.00,16030196.20,1659.00,-14.00
Mirmire Microfinance Development Bank Ltd.,113,1918.90,1888.00,1918.90,6171.00,11734602.60,1917.00,1.90
Miteri Development Bank Limited,680,837.00,790.00,823.00,107850.00,87962343.10,780.00,43.00
Mithila LaghuBitta Bittiya Sanstha Limited,28,2241.00,2200.10,2239.70,1061.00,2351571.00,2245.00,-5.30
Mountain Energy Nepal Limited,692,1521.00,1385.00,1521.00,53488.00,76271351.10,1408.00,113.00
Mountain Hydro Nepal Limited,415,717.00,679.00,685.00,76913.00,53598174.00,685.00,0.00
Muktinath Bikas Bank Ltd.,2300,850.00,783.00,834.00,378552.00,312277375.10,796.00,38.00
Multipurpose Finance Company  Limited,295,653.00,622.00,639.90,57557.00,36757563.50,609.90,30.00
NABIL BALANCED FUND-2,73,15.40,15.00,15.10,175990.00,2680006.50,15.30,-0.20
Nabil Bank Limited,1226,1505.00,1485.00,1495.00,119338.00,178292864.90,1495.00,0.00
Nabil Equity Fund,97,16.28,16.09,16.13,455474.00,7351381.98,16.19,-0.06
Narayani Development Bank Limited,132,965.00,921.00,945.00,14068.00,13145323.20,948.00,-3.00
National Hydro Power Company Limited,7453,530.90,490.00,498.00,1542200.00,788703520.70,482.70,15.30
National Life Insurance Co. Ltd.,438,1230.00,1190.00,1223.00,71382.00,86437381.90,1190.00,33.00
National Microfinance Bittiya Sanstha Ltd.,149,3520.00,3390.00,3450.00,6047.00,20981892.80,3457.00,8.00
Neco Insurance Co. Ltd.,438,1479.30,1440.00,1465.00,43487.00,63490758.30,1455.00,10.00
Nepal Bangladesh Bank Limited,1100,500.00,486.40,495.00,273083.00,134869388.80,491.10,3.90
Nepal Bank Limited,3665,575.00,542.00,564.00,783232.00,435294934.10,550.40,13.60
Nepal Credit And Commercial Bank Limited,942,369.00,357.70,361.90,207657.00,74986856.00,360.50,1.40
Nepal Doorsanchar Comapany Limited,549,1237.00,1189.00,1205.00,48279.00,58935886.00,1213.00,-8.00
Nepal Finance Ltd.,453,780.00,750.00,765.00,78375.00,60377624.00,750.00,15.00
Nepal Hydro Developers Ltd.,363,840.00,777.00,789.00,52153.00,42385813.60,797.00,-8.00
Nepal Infrastructure Bank Limited,6655,494.00,449.50,480.00,693344.00,327692033.50,456.00,24.00
Nepal Insurance Co. Ltd.,619,1060.00,1002.00,1034.00,70017.00,72222551.60,1009.00,25.00
Nepal Life Insurance Co. Ltd.,2166,1938.00,1880.00,1882.00,132274.00,249279680.20,1900.00,-18.00
Nepal Reinsurance Company Limited,1716,1635.00,1565.00,1590.00,161961.00,260017474.20,1580.00,10.00
Nepal SBI Bank Limited,411,405.00,397.30,402.00,70910.00,28366634.60,401.10,0.90
Nerude Laghubita Bikas Bank Limited,99,1639.00,1610.00,1616.00,9419.00,15272752.00,1648.90,-32.90
Ngadi Group Power Ltd.,1229,1284.00,1200.00,1255.00,255153.00,320570409.40,1194.00,61.00
NIBL Pragati Fund,56,13.20,12.84,12.84,131452.00,1707782.79,13.46,-0.62
NIBL Samriddhi Fund -2,50,10.35,10.16,10.32,48260.00,493635.10,10.30,0.02
NIBL Samriddhi Fund 1,25,13.35,12.95,12.99,85770.00,1118844.00,13.40,-0.41
NIC Asia Balanced Fund,29,15.27,15.04,15.20,55620.00,840055.00,15.20,0.00
NIC Asia Bank Ltd.,1498,998.50,960.00,995.00,223612.00,218317865.90,973.00,22.00
NIC Asia Growth Fund,29,16.90,16.10,16.20,82600.00,1340995.00,16.63,-0.43
NIC ASIA Laghubitta Bittiya Sanstha Limited,654,1581.00,1538.60,1575.00,22238.00,34922356.50,1580.00,-5.00
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,554,1724.00,1695.00,1702.00,72924.00,124176534.10,1717.00,-15.00
NLG Insurance Company Ltd.,280,1117.00,1074.10,1096.00,27716.00,30193857.60,1096.00,0.00
NMB  Microfinance Bittiya Sanstha Ltd.,140,1555.50,1500.00,1530.00,12612.00,19281695.00,1539.00,-9.00
NMB 50,140,16.64,16.28,16.30,1046510.00,17148350.45,16.65,-0.35
NMB Bank Limited,1267,482.00,465.00,474.90,176978.00,83373217.90,473.00,1.90
NMB Hybrid Fund L-1,88,14.72,14.43,14.50,605264.00,8800454.33,14.90,-0.40
NRN Infrastructure and Development Limited,1789,960.00,875.00,960.00,204201.00,187270911.30,880.00,80.00
Oriental Hotels Limited,251,646.00,604.70,640.00,40042.00,24883825.00,621.10,18.90
Panchakanya Mai Hydropower Ltd,1036,484.00,441.10,465.00,181465.00,87085172.40,440.00,25.00
Panchthar Power Compant Limited,633,642.00,599.00,607.00,78685.00,48837276.70,589.90,17.10
Pokhara Finance Ltd.,2094,867.00,805.00,853.00,240132.00,202787289.40,791.00,63.00
Prabhu  Bank Limited,1320,480.00,461.00,473.50,254945.00,120096694.40,469.00,4.50
Prabhu Insurance Ltd.,334,1030.00,970.00,1000.00,42947.00,43119928.60,987.00,13.00
Prabhu Life Insurance Limited,884,767.00,748.00,766.00,26218.00,19803556.00,761.00,5.00
Prabhu Select Fund,79,10.32,10.05,10.18,89270.00,913221.20,10.10,0.08
Premier Insurance Co. Ltd.,394,1274.00,1212.00,1260.00,31992.00,40081918.20,1223.00,37.00
Prime Commercial Bank Ltd.,1101,528.00,513.00,521.90,194221.00,100807267.60,520.00,1.90
Prime Life Insurance Company Limited,228,1046.00,977.00,1015.00,31365.00,31674904.10,978.10,36.90
ProgressiveFinance Limited,1186,547.60,510.00,520.00,190033.00,101617858.30,519.90,0.10
Prudential Insurance Co. Ltd.,283,856.00,815.00,838.00,38699.00,32228881.00,815.50,22.50
Radhi Bidyut Company Ltd,811,955.00,908.00,913.00,87890.00,81729640.10,931.00,-18.00
Rairang Hydropower Development Company Ltd.,1041,700.00,651.00,660.00,184937.00,125131285.20,644.10,15.90
Rastriya Beema Company Limited,55,20999.00,19507.00,20190.00,850.00,17134725.00,20300.00,-110.00
Rastriya Beema Company Limited Promoter Share,34,16098.00,15351.00,15885.00,674.00,10566450.00,15802.00,83.00
RASUWAGADHI HYDROPOWER COMPANY LIMITED,1638,525.00,503.10,504.00,245460.00,126273794.90,512.00,-8.00
Reliance Finance Ltd.,1884,735.90,680.00,712.50,325118.00,230837658.60,669.00,43.50
Reliance Finance Ltd. Promoter Share,1,346.00,346.00,346.00,5629.00,1947634.00,346.00,0.00
Reliance Life Insurance Limited,713,694.60,667.40,683.00,31293.00,21176677.80,681.00,2.00
Ridi Hydropower Development Company Ltd.,1898,1032.00,942.00,955.00,402420.00,392188034.50,974.00,-19.00
RMDC Laghubitta Bittiya Sanstha Ltd.,412,1770.00,1724.00,1724.00,50097.00,87354094.00,1775.00,-51.00
RSDC Laghubitta Bittiya Sanstha Ltd.,1008,1194.40,1110.00,1125.00,95094.00,108082540.40,1164.00,-39.00
Ru Ru Jalbidhyut Pariyojana Limited,603,1770.00,1536.70,1770.00,20233.00,33103941.10,1683.00,87.00
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,82,2145.00,2070.00,2082.00,2131.00,4458376.30,2109.00,-27.00
Sadhana Laghubitta Bittiya Sanstha Limited,103,1835.00,1805.50,1835.00,3706.00,6760741.60,1833.00,2.00
Sagarmatha Insurance Co. Ltd.,128,1468.00,1426.10,1440.10,10181.00,14726876.60,1452.80,-12.70
Salt Trading Corporation,102,9999.00,9805.00,9870.00,1911.00,18909322.50,9850.00,20.00
Samata Gharelu Laghubitta Bittiya Sanstha Limited,48,1682.00,1633.90,1670.20,2387.00,3991792.90,1667.20,3.00
Samriddhi Finance Company Limited,1470,720.00,673.20,685.00,187081.00,130503019.90,660.00,25.00
Samudayik Laghubitta Bittiya Sanstha Limited,55,1600.00,1550.00,1560.00,2131.00,3333026.00,1581.00,-21.00
Sana Kisan Bikas Bank Ltd,681,2050.00,1995.00,2025.00,100466.00,203345964.10,1995.00,30.00
Sanima Bank Limited,806,546.00,525.00,538.00,174754.00,93688562.40,534.90,3.10
Sanima Equity Fund,84,18.66,18.20,18.40,852774.00,15624447.65,18.66,-0.26
Sanima General Insurance Limited,465,749.70,720.00,737.00,16423.00,12035686.00,733.10,3.90
Sanima Large Cap Fund,68,10.63,10.10,10.34,45760.00,477814.60,10.46,-0.12
Sanima Mai Hydropower Ltd.,3300,675.00,630.00,646.00,720412.00,471850370.70,622.00,24.00
SANJEN JALAVIDHYUT COMPANY LIMITED,1293,516.80,499.00,501.00,142535.00,72372038.00,506.70,-5.70
Saptakoshi Development Bank Ltd,1339,540.00,491.00,518.00,248709.00,127922158.50,493.00,22.00
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,128,1949.00,1750.00,1949.00,13770.00,25948368.50,1795.00,154.00
Shangrila Development Bank Ltd.,2432,595.00,543.00,575.00,496824.00,284348642.00,548.00,27.00
Shikhar Insurance Co. Ltd.,483,2000.00,1979.00,1979.00,26318.00,52272954.20,1982.00,-3.00
Shine Resunga Development Bank Ltd.,2679,655.00,603.00,625.00,537931.00,341246581.30,605.00,20.00
Shiva Shree Hydropower Ltd,1207,533.00,490.00,500.00,231421.00,118330100.90,505.00,-5.00
SHIVAM CEMENTS LTD,2374,1793.00,1640.00,1793.00,239956.00,420538937.30,1630.00,163.00
Shree Investment Finance Co. Ltd.,1043,688.00,645.00,653.00,191673.00,126448563.70,637.00,16.00
Siddhartha Bank Limited,920,575.20,555.00,573.00,228125.00,128583117.70,564.00,9.00
Siddhartha Equity Fund,31,12.18,11.94,12.00,61050.00,733078.00,11.95,0.05
Siddhartha Insurance Ltd.,143,1110.00,1071.00,1097.00,16715.00,18379981.00,1092.00,5.00
Siddhartha Investment Growth Scheme - 2,54,12.34,12.06,12.10,178653.00,2182237.78,12.42,-0.32
Sindhu Bikash Bank Ltd,1035,618.00,563.50,593.00,199100.00,119822259.20,575.00,18.00
Singati Hydro Energy Limited,1514,650.00,606.90,630.20,159551.00,100670750.00,595.00,35.20
Soaltee Hotel Limited,512,280.00,271.50,278.00,133712.00,37005022.30,281.00,-3.00
