Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Gurans Life Insurance Company Ltd.,508,828.00,796.00,808.00,110141.00,89371144.50,819.00,-11.00
Gurkhas Finance Ltd.,137,1210.00,1170.00,1170.00,14186.00,16835590.30,1201.00,-31.00
Himal Dolakha Hydropower Company Limited,1145,331.00,317.00,329.00,230827.00,75338717.60,327.00,2.00
Himalaya Urja Bikas Company Limited,444,513.00,479.10,498.00,78859.00,38905469.10,503.00,-5.00
Himalayan Distillery Limited,1354,6645.00,6375.00,6440.00,45643.00,294437230.70,6594.00,-154.00
Himalayan General Insurance Co. Ltd,1298,924.00,861.00,907.00,275741.00,247508049.60,870.00,37.00
Himalayan Power Partner Ltd.,608,649.00,577.00,624.30,129919.00,77949428.20,612.00,12.30
Hydorelectricity Investment and Development Company Ltd,1263,469.00,451.00,454.00,226366.00,103006894.60,469.00,-15.00
ICFC Finance Limited,591,703.00,676.00,677.10,89709.00,61003875.10,690.00,-12.90
IME General Insurance Ltd.,304,1334.00,1284.00,1284.00,44069.00,57374753.20,1308.00,-24.00
Infinity Laghubitta Bittiya Sanstha Limited,72,2014.00,1983.00,1994.90,3661.00,7300938.20,1988.00,6.90
Janaki Finance Ltd.,642,649.00,601.00,601.00,153392.00,94544698.50,636.00,-35.00
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,62,3620.00,3540.00,3611.00,2147.00,7671883.50,3580.00,31.00
Jeevan Bikas laghubitta  bittya sanstha ltd,10,989.10,890.00,989.10,100.00,95257.00,0.00,75.10
Joshi Hydropower Development Company Ltd,535,368.00,346.50,361.00,66293.00,23844530.60,375.00,-14.00
Jyoti Bikas Bank Limited,1285,495.70,486.10,487.00,207815.00,102078037.30,486.00,1.00
Jyoti Life Insurance Ltd,1147,826.20,793.90,803.00,29078.00,23506247.60,806.00,-3.00
Kalika Microcredit Development Bank Ltd.,278,1578.00,1500.00,1526.00,20740.00,31737854.80,1520.00,6.00
Kalika power Company Ltd,238,613.00,566.20,585.00,26342.00,15335249.80,586.10,-1.10
Kamana Sewa Bikas Bank Limited,648,593.00,577.30,581.00,116817.00,68426888.50,584.50,-3.50
Karnali Development Bank Limited,726,417.00,395.00,406.00,109053.00,44464784.20,395.00,11.00
Khanikhola Hydropower Co. Ltd.,341,324.90,310.00,320.00,29150.00,9263331.70,328.00,-8.00
Kisan Lagubitta Bittiya Sanstha Limited,38,1729.00,1668.00,1685.00,2905.00,4861941.00,1700.00,-15.00
Kumari Bank Limited,848,394.00,389.00,391.50,173746.00,67830332.20,392.50,-1.00
Kumari Equity Fund,131,11.30,10.89,11.00,184265.00,2032994.50,10.90,0.10
Laxmi Bank Limited,374,414.00,407.00,411.00,101075.00,41389464.70,416.00,-5.00
Laxmi Equity Fund,690,17.79,17.24,17.40,2734645.00,47787541.46,17.22,0.18
Laxmi Laghubitta Bittiya Sanstha Ltd.,44,2416.30,2343.00,2390.00,2161.00,5117339.00,2369.00,-26.00
Laxmi Unnati Kosh,84,13.22,12.40,12.50,119450.00,1499997.00,12.97,-0.47
Liberty Energy Company Limited,453,445.00,427.00,429.00,58716.00,25352138.70,441.00,-12.00
Life Insurance Co. Nepal,117,2555.00,2500.00,2520.00,9835.00,24859640.00,2548.00,-28.00
Lumbini Bikas Bank Ltd.,1115,614.00,591.00,611.00,203198.00,123304713.00,580.00,31.00
Lumbini General Insurance Co. Ltd.,678,886.00,853.00,854.00,114714.00,99769723.80,869.00,-15.00
Machhapuchhre Bank Limited,467,425.00,419.00,421.80,123291.00,51937834.40,424.20,-2.40
Mahalaxmi Bikas Bank Ltd.,1578,500.00,487.00,498.00,294975.00,146470589.40,488.00,10.00
Mahila Lagubitta Bittiya Sanstha Limited ,204,5115.00,5000.00,5063.00,4163.00,21085025.50,5006.10,56.90
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,40,2344.00,2292.00,2312.00,1833.00,4240379.00,2338.00,-26.00
Manjushree Finance Ltd.,718,1360.00,1321.00,1323.00,83613.00,112241685.80,1340.00,-17.00
Mega  Bank Nepal Ltd.,1137,390.00,383.00,384.50,233261.00,89742868.20,388.00,-3.50
Mero Microfinance Bittiya Sanstha Ltd.,147,1677.90,1637.00,1641.00,8798.00,14477119.10,1645.00,-4.00
